KickReturns,Sacks,Season,Team,Conference,Penalties
0,38,2004,Cardinals,NFC,124.0
0,48,2004,Falcons,NFC,109.0
0,39,2004,Ravens,AFC,94.0
3,45,2004,Bills,AFC,121.0
0,34,2004,Panthers,AFC,123.0
0,35,2004,Bears,NFC,124.0
0,37,2004,Bengals,AFC,103.0
1,32,2004,Browns,AFC,115.0
0,33,2004,Cowboys,NFC,105.0
0,38,2004,Broncos,AFC,93.0
2,38,2004,Lions,NFC,121.0
0,40,2004,Packers,NFC,116.0
0,40,2004,Texans,AFC,106.0
1,24,2004,Colts,AFC,106.0
0,45,2004,Jaguars,AFC,109.0
2,37,2004,Chiefs,AFC,117.0
1,41,2004,Dolphins,AFC,112.0
0,36,2004,Vikings,NFC,101.0
1,39,2004,Patriots,AFC,129.0
2,45,2004,Saints,NFC,118.0
2,37,2004,Giants,NFC,91.0
1,40,2004,Jets,AFC,134.0
0,37,2004,Raiders,AFC,75.0
0,25,2004,Eagles,NFC,87.0
0,47,2004,Steelers,AFC,134.0
1,41,2004,Chargers,AFC,124.0
0,29,2004,49ers,NFC,99.0
0,29,2004,Seahawks,NFC,108.0
0,36,2004,Rams,NFC,108.0
0,34,2004,Buccaneers,NFC,103.0
0,45,2004,Titans,AFC,79.0
0,40,2004,Commanders,NFC,127.0
0,37,2005,Cardinals,NFC,145.0
0,37,2005,Falcons,NFC,114.0
0,42,2005,Ravens,AFC,139.0
1,38,2005,Bills,AFC,120.0
0,45,2005,Panthers,AFC,91.0
0,41,2005,Bears,NFC,105.0
0,28,2005,Bengals,AFC,110.0
1,23,2005,Browns,AFC,99.0
0,37,2005,Cowboys,NFC,99.0
0,28,2005,Broncos,AFC,97.0
0,31,2005,Lions,NFC,115.0
0,35,2005,Packers,NFC,119.0
2,37,2005,Texans,AFC,106.0
0,46,2005,Colts,AFC,94.0
1,47,2005,Jaguars,AFC,121.0
1,29,2005,Chiefs,AFC,115.0
0,49,2005,Dolphins,AFC,132.0
1,34,2005,Vikings,NFC,128.0
0,33,2005,Patriots,AFC,110.0
0,25,2005,Saints,NFC,135.0
1,41,2005,Giants,NFC,143.0
1,30,2005,Jets,AFC,98.0
0,36,2005,Raiders,AFC,147.0
0,29,2005,Eagles,NFC,134.0
0,47,2005,Steelers,AFC,99.0
0,46,2005,Chargers,AFC,110.0
0,28,2005,49ers,NFC,106.0
0,50,2005,Seahawks,NFC,94.0
1,41,2005,Rams,NFC,131.0
0,36,2005,Buccaneers,NFC,131.0
0,41,2005,Titans,AFC,125.0
2,35,2005,Commanders,NFC,108.0
0,34,2006,Cardinals,NFC,117.0
0,25,2006,Falcons,NFC,96.0
0,38,2006,Ravens,AFC,109.0
1,41,2006,Bills,AFC,87.0
0,47,2006,Panthers,AFC,103.0
3,60,2006,Bears,NFC,112.0
0,40,2006,Bengals,AFC,92.0
0,34,2006,Browns,AFC,74.0
1,40,2006,Cowboys,NFC,100.0
0,35,2006,Broncos,AFC,67.0
0,40,2006,Lions,NFC,116.0
0,44,2006,Packers,NFC,90.0
0,61,2006,Texans,AFC,90.0
1,35,2006,Colts,AFC,86.0
0,28,2006,Jaguars,AFC,97.0
1,41,2006,Chiefs,AFC,76.0
0,46,2006,Dolphins,AFC,90.0
1,32,2006,Vikings,NFC,123.0
0,25,2006,Patriots,AFC,98.0
1,39,2006,Saints,NFC,79.0
0,35,2006,Giants,NFC,101.0
0,28,2006,Jets,AFC,70.0
0,19,2006,Raiders,AFC,111.0
0,34,2006,Eagles,NFC,112.0
1,30,2006,Steelers,AFC,69.0
0,34,2006,Chargers,AFC,90.0
0,26,2006,49ers,NFC,93.0
1,32,2006,Seahawks,NFC,94.0
0,37,2006,Rams,NFC,116.0
0,38,2006,Buccaneers,NFC,87.0
3,30,2006,Titans,AFC,94.0
1,35,2006,Commanders,NFC,106.0
1,33,2007,Cardinals,NFC,137.0
0,28,2007,Falcons,NFC,105.0
2,36,2007,Ravens,AFC,107.0
1,30,2007,Bills,AFC,78.0
0,37,2007,Panthers,AFC,95.0
4,47,2007,Bears,NFC,111.0
0,33,2007,Bengals,AFC,90.0
1,27,2007,Browns,AFC,114.0
0,29,2007,Cowboys,NFC,104.0
1,40,2007,Broncos,AFC,90.0
0,53,2007,Lions,NFC,113.0
1,36,2007,Packers,NFC,82.0
0,46,2007,Texans,AFC,67.0
1,42,2007,Colts,AFC,76.0
2,37,2007,Jaguars,AFC,101.0
0,33,2007,Chiefs,AFC,91.0
1,23,2007,Dolphins,AFC,86.0
0,37,2007,Vikings,NFC,78.0
0,45,2007,Patriots,AFC,68.0
1,32,2007,Saints,NFC,77.0
0,31,2007,Giants,NFC,63.0
0,31,2007,Jets,AFC,120.0
0,25,2007,Raiders,AFC,83.0
0,28,2007,Eagles,NFC,80.0
0,31,2007,Steelers,AFC,94.0
1,22,2007,Chargers,AFC,97.0
0,41,2007,49ers,NFC,59.0
1,36,2007,Seahawks,NFC,94.0
1,26,2007,Rams,NFC,81.0
0,32,2007,Buccaneers,NFC,101.0
0,37,2007,Titans,AFC,90.0
0,38,2007,Commanders,NFC,92.0
0,44,2008,Cardinals,NFC,80.0
1,23,2008,Falcons,NFC,77.0
0,36,2008,Ravens,AFC,81.0
1,43,2008,Bills,AFC,68.0
0,36,2008,Panthers,AFC,91.0
0,41,2008,Bears,NFC,74.0
0,25,2008,Bengals,AFC,78.0
0,46,2008,Browns,AFC,91.0
0,44,2008,Cowboys,NFC,102.0
1,52,2008,Broncos,AFC,80.0
0,43,2008,Lions,NFC,72.0
0,21,2008,Packers,NFC,99.0
1,41,2008,Texans,AFC,89.0
0,26,2008,Colts,AFC,92.0
0,32,2008,Jaguars,AFC,94.0
1,45,2008,Chiefs,AFC,71.0
0,20,2008,Dolphins,AFC,106.0
0,18,2008,Vikings,NFC,68.0
0,17,2008,Patriots,AFC,80.0
1,19,2008,Saints,NFC,101.0
0,50,2008,Giants,NFC,79.0
1,22,2008,Jets,AFC,94.0
1,29,2008,Raiders,AFC,89.0
1,23,2008,Eagles,NFC,107.0
0,30,2008,Steelers,AFC,101.0
0,21,2008,Chargers,AFC,104.0
0,45,2008,49ers,NFC,83.0
0,46,2008,Seahawks,NFC,95.0
0,23,2008,Rams,NFC,88.0
1,31,2008,Buccaneers,NFC,89.0
1,41,2008,Titans,AFC,89.0
1,52,2008,Commanders,NFC,88.0
1,24,2009,Cardinals,NFC,98.0
0,36,2009,Falcons,NFC,81.0
0,26,2009,Ravens,AFC,84.0
1,25,2009,Bills,AFC,86.0
0,33,2009,Panthers,AFC,99.0
0,30,2009,Bears,NFC,105.0
1,33,2009,Bengals,AFC,101.0
1,25,2009,Browns,AFC,90.0
0,40,2009,Cowboys,NFC,92.0
1,36,2009,Broncos,AFC,96.0
1,35,2009,Lions,NFC,101.0
1,26,2009,Packers,NFC,91.0
0,41,2009,Texans,AFC,104.0
0,40,2009,Colts,AFC,88.0
0,37,2009,Jaguars,AFC,87.0
1,36,2009,Chiefs,AFC,81.0
0,33,2009,Dolphins,AFC,96.0
1,42,2009,Vikings,NFC,90.0
0,31,2009,Patriots,AFC,81.0
1,40,2009,Saints,NFC,86.0
0,24,2009,Giants,NFC,95.0
0,25,2009,Jets,AFC,86.0
0,41,2009,Raiders,AFC,104.0
0,22,2009,Eagles,NFC,90.0
0,35,2009,Steelers,AFC,85.0
0,42,2009,Chargers,AFC,83.0
1,37,2009,49ers,NFC,84.0
1,32,2009,Seahawks,NFC,92.0
0,31,2009,Rams,NFC,94.0
1,36,2009,Buccaneers,NFC,88.0
1,42,2009,Titans,AFC,88.0
1,26,2009,Commanders,NFC,103.0
0,33,2010,Cardinals,NFC,76.0
0,40,2010,Falcons,NFC,96.0
0,33,2010,Ravens,AFC,133.0
1,40,2010,Bills,AFC,89.0
1,36,2010,Panthers,AFC,119.0
1,32,2010,Bears,NFC,70.0
0,33,2010,Bengals,AFC,100.0
0,32,2010,Browns,AFC,120.0
0,36,2010,Cowboys,NFC,80.0
1,38,2010,Broncos,AFC,98.0
0,40,2010,Lions,NFC,112.0
0,35,2010,Packers,NFC,127.0
1,30,2010,Texans,AFC,96.0
0,40,2010,Colts,AFC,82.0
0,31,2010,Jaguars,AFC,93.0
1,39,2010,Chiefs,AFC,127.0
0,36,2010,Dolphins,AFC,125.0
1,33,2010,Vikings,NFC,68.0
1,41,2010,Patriots,AFC,99.0
1,41,2010,Saints,NFC,129.0
0,34,2010,Giants,NFC,132.0
1,35,2010,Jets,AFC,70.0
1,33,2010,Raiders,AFC,116.0
0,36,2010,Eagles,NFC,107.0
0,34,2010,Steelers,AFC,123.0
0,30,2010,Chargers,AFC,85.0
0,41,2010,49ers,NFC,79.0
1,32,2010,Seahawks,NFC,93.0
1,37,2010,Rams,NFC,118.0
0,35,2010,Buccaneers,NFC,99.0
0,31,2010,Titans,AFC,71.0
1,38,2010,Commanders,NFC,131.0
0,34,2011,Cardinals,NFC,102.0
0,38,2011,Falcons,NFC,129.0
1,43,2011,Ravens,AFC,134.0
0,36,2011,Bills,AFC,117.0
1,32,2011,Panthers,AFC,146.0
0,35,2011,Bears,NFC,94.0
1,38,2011,Bengals,AFC,122.0
1,31,2011,Browns,AFC,145.0
1,33,2011,Cowboys,NFC,128.0
0,34,2011,Broncos,AFC,92.0
0,43,2011,Lions,NFC,146.0
0,44,2011,Packers,NFC,112.0
1,38,2011,Texans,AFC,111.0
0,41,2011,Colts,AFC,86.0
0,44,2011,Jaguars,AFC,122.0
1,34,2011,Chiefs,AFC,90.0
0,40,2011,Dolphins,AFC,110.0
0,44,2011,Vikings,NFC,91.0
0,34,2011,Patriots,AFC,152.0
1,35,2011,Saints,NFC,103.0
1,44,2011,Giants,NFC,104.0
0,37,2011,Jets,AFC,117.0
1,42,2011,Raiders,AFC,113.0
